Cenário,Carteira 1,Carteira 2,Carteira 3,Carteira 4,Carteira 5,Carteira 6,Carteira 7,Carteira 8,Carteira 9,Carteira 10,Carteira 11,Carteira 12,Carteira 13,Carteira 14,Carteira 15,Carteira 16,Carteira 17,Carteira 18,Carteira 19,Carteira 20,Carteira 21,Carteira 22,Carteira 23,Carteira 24,Carteira 25,Carteira 26,Carteira 27,Carteira 28,Carteira 29,Carteira 30,Carteira 31,Carteira 32,Carteira 33,Carteira 34
11,0.051709151093999435,0.17098282711030277,0.1639553666076819,0.21424957758282515,0.2408584915928498,0.2558043011234367,0.3519201162396467,0.3019170823134916,0.44932846510480784,0.3985770622996123,0.47140537469041327,0.5585342943721693,0.5257412940201095,0.5918353872223545,0.7189528173104012,0.6386698918156651,0.5859423579211035,0.6722712940861574,0.7371998369662427,0.7145767986355834,0.7726954208261141,0.822965202794887,0.7849926696295361,0.9047992097512466,0.9130854938053604,0.9149549833396795,1.102768800243268,1.0227945073409273,1.1216855995553838,1.054161987967021,1.2301336726122247,1.3117080378158947,1.216300846159334,1.130947606205509
12,0.05993324061196106,0.0902522752754688,0.17919406743346863,0.24577365043771232,0.2047562322753604,0.2950824759350193,0.36109767011060334,0.4249227054178684,0.44737377952247837,0.4983199953435315,0.4558171705003388,0.5232005076660706,0.5043822396228846,0.6008035804653495,0.6696227192465625,0.6009605635901949,0.6199479015381587,0.6803481988077003,0.7014134370551801,0.7521765289506837,0.8047021045276651,0.8537131018059787,0.8287688469684331,0.9342714412375756,0.9597288655729329,0.9902958475872186,1.1050205779379902,1.0727593726654998,1.1010445334462877,1.1374578968849955,1.1345808184313204,1.2032288274234373,1.159944363032483,1.1276461146844519
13,0.05468807869283501,0.14322285772279142,0.1721158580610864,0.23495835587513247,0.26183775832584516,0.24343855990462943,0.38507025806053674,0.4146430443342459,0.30179141652401836,0.4658866793855671,0.41495423687253863,0.5075807140042442,0.5269367277163032,0.639814811789023,0.7151889388732282,0.6471890692331059,0.6980016633228393,0.826115176412782,0.7291357232257941,0.7724416954806904,0.7891786777248184,0.8895880213239141,0.9012928402495909,0.8621003984329799,0.8817601995248311,0.9772711443871549,0.9930194044318489,1.0076359218391222,1.0394170910089653,1.124662416380771,1.293970769177109,1.274937641519541,1.2934912315006675,1.2170836654062482
14,0.035957531223589065,0.10790895915528938,0.165402698523081,0.2002430664755471,0.18542356681619318,0.29122017666966954,0.3360460302458029,0.35328123278668483,0.43243415172171357,0.4969372424535964,0.4898917406254253,0.4902035358204885,0.5777522047463619,0.6179073130710935,0.5487802103948793,0.575292462733735,0.703666728565799,0.619954375876717,0.6852536998993458,0.662204909522287,0.7377221833432313,0.8378476523759604,0.8042872782751103,0.9417142669331131,0.9126284114720417,0.951078944579054,0.9852382671030538,1.1298357289404586,1.1865058893699023,1.1753423811430372,1.1866700264985355,1.220807000824583,1.1071893117465845,1.1803941894223402
15,0.09199642373864296,0.08402454436497198,0.16137994714924478,0.20969017730056527,0.2559456225577853,0.28596483500374226,0.3793498749551241,0.37159384144002144,0.45734658933218336,0.43609554809524526,0.47831867662426464,0.5415680539297778,0.6215813856976191,0.5789743962343883,0.6344740037508853,0.6420079662242023,0.6800629516466521,0.7891732998372648,0.6686495003847377,0.6854899187447644,0.8406725180752094,0.816383606103543,0.8261877508192657,0.8488853176640089,0.951059163394672,0.9939540977391468,0.9213938333326456,1.0639086867811454,1.0940378915749502,1.0932010398396799,1.2659359063050328,1.365616336776192,1.326797415339346,1.3847120402220798
16,0.05628971099942007,0.09207234270823551,0.1668320820100706,0.20771338044292287,0.2610599845825245,0.2843569779810394,0.340970073857904,0.3623506965456559,0.44203907862575964,0.41572282449800985,0.49413948748467845,0.4964718903018289,0.5680633499518563,0.55209459029526,0.615416328545527,0.6733056660189318,0.679125657448261,0.8186912308616611,0.7991398087165749,0.8161591644294445,0.8572138893253249,0.776120011172052,0.8262109712672916,0.9151030080181757,0.8926863987524666,1.0192257871917372,1.0740170683845593,1.0867028100062361,1.1261601035984845,1.1154482040701263,1.1632033001126234,1.256000627305753,1.2144509525443432,1.3586144014775579
17,0.057855488774091,0.049284736873410756,0.1685160165828608,0.18021893241528986,0.26317112113191277,0.2965700388024888,0.38004060591961186,0.3648157887557542,0.35680781482242047,0.4839543397843463,0.4804955468042785,0.5227908486897309,0.5778742013429315,0.5468916262704612,0.5814160170843131,0.6939941955303787,0.7421625711221688,0.7473627780453808,0.7612510110117547,0.7595773586563116,0.7842701382543711,0.8877533187539165,0.7381798263225802,0.8462151709552771,0.9608314752487065,0.9348979807012533,1.088645548026978,1.1222194471650675,1.2064192191679604,1.1504744434001144,1.1459717515611254,1.153939715669703,1.1234454696525187,1.306640173017974
18,0.05993324061196106,0.10330364739996134,0.16499356689439443,0.17144021016057848,0.31806723159964745,0.27113826774427563,0.29140313983860366,0.3455365631513331,0.3816670032215946,0.46283489644030823,0.4467780021607686,0.5104959270756477,0.5889110447581447,0.5973752986141058,0.6219188040831196,0.708090424797072,0.6719280923647515,0.6945725036592861,0.8002242135630979,0.7625172774545145,0.7953039313874584,0.8649675462161239,0.9522923149531773,0.9554260626517005,0.9243962219642974,0.9325258065069656,1.1860211174097115,1.0820397502916648,1.028958416864581,1.1288551073436035,1.061182509564261,1.2913662724629424,1.0979758801003123,1.301251694532544
19,0.05993324061196106,0.16924746036161334,0.1344096762033636,0.2025543707824652,0.22877483359060966,0.3086474619399545,0.33690614033532523,0.435812640034745,0.5223285751437946,0.46514520173569585,0.4612503610547276,0.6564546941701255,0.49070550547008324,0.600203604749212,0.6935806036856382,0.6754898232181182,0.6393625270322101,0.6713016872218449,0.8315088675590917,0.8430408178326606,0.7342937885137576,0.8611433960330683,0.9802946156724591,0.9228746155414558,0.9350970812374592,1.1379951459384545,1.0242575228619084,1.1585073496477856,1.0828703504147354,1.1904360097085886,1.2276657720073159,1.3070780011695704,1.135374742355385,1.3071453430630733
20,0.05665208000751244,0.10950860962616545,0.18696401407851038,0.20087971135847593,0.24572865301714522,0.33381076725634523,0.32752404777534205,0.33397610239088676,0.4478334576578465,0.4249184504697568,0.47282336402948816,0.5194413206455895,0.5227582291120364,0.5734945807953223,0.6314178653483252,0.5682705816351314,0.7288364485170252,0.718352738608517,0.7275168399158353,0.7383605227423372,0.6774122589577452,0.8596183067597395,0.9013675370073995,0.9618579416990718,0.8906943152505719,0.9240988259905086,0.9588685540505921,1.1708690976529266,1.1012905402144384,1.0830618246666783,1.196811731241888,1.2189250383862111,1.1887945446025396,1.2384886658518979
